ID,CalcRMSD,COM_Distance
mac-x4034,0.253743537,0.167977185
mac-x4067,2.585416853,1.178635398
mac-x4070,1.62420161,0.501767021
mac-x4071,0.48165593,0.221852852
mac-x4082,2.613819459,0.491613948
mac-x4088,2.02635433,0.740011701
mac-x4091,2.447669256,1.138021911
mac-x4101,1.644797556,0.47442582
mac-x4102,1.280126302,0.442244082
mac-x4105,0.916905172,0.290159152
mac-x4106,1.776644688,0.627981849
mac-x4107,1.850038236,0.685208367
mac-x4110,1.895496178,0.838581332
mac-x4112,1.072072955,0.120365142
mac-x4114,1.749801119,0.494595295
mac-x4115,1.750386801,0.51809655
mac-x4121,3.667782169,2.186811082
mac-x4125,0.228808053,0.123610675
mac-x4159,2.043313765,0.655730103
mac-x4160,1.644561525,0.543452834
mac-x4162,0.458414205,0.260833413
mac-x4165,1.139165082,0.27048966
mac-x4166,2.235647898,0.50145235
mac-x4169,1.881913016,0.717760514
mac-x4193,0.973881752,0.567566776
mac-x4194,1.119720481,0.765313434
mac-x4201,2.906607215,1.853839781
mac-x4233,4.549404187,1.629762264
mac-x4236,1.238986767,0.783121067
mac-x4237,1.350076294,0.561014011
mac-x4240,1.310492335,0.807941782
mac-x4318,0.674324343,0.387448906
mac-x4329,2.088310885,0.953160861
mac-x4337,3.568998648,1.69480741
mac-x4341,2.441659176,1.187605153
mac-x4346,2.188503776,0.843753632
mac-x4349,3.972455929,2.150798207
mac-x4356,4.579798817,2.64847783
mac-x4357,4.403536045,2.536248286
mac-x4358,4.757244549,2.661885635
mac-x4359,3.978312476,2.173848816
mac-x4361,1.647104687,0.642688153
mac-x4362,1.607547029,0.503955377
mac-x4365,0.756647415,0.576215429
mac-x4371,1.743275727,0.491667007
mac-x4372,1.722620956,0.592149993
mac-x4373,0.604285565,0.502231636
mac-x4374,1.963483278,0.507558587
mac-x4377,1.756663585,0.603638548
mac-x4378,2.139729317,1.438328298
mac-x4379,0.592256574,0.304676127
mac-x4392,1.480578709,0.640678165
mac-x4394,0.965579529,0.494487912
mac-x4727,1.834092207,1.132082935
mac-x4731,1.81122525,0.207075879
mac-x4732,4.026627451,2.205035822
mac-x4733,2.926783439,0.799259889
mac-x4734,1.244805826,0.767936131
mac-x4735,2.097269881,0.969133435
mac-x4737,1.949266586,0.503385943
mac-x4740,1.451598774,0.415029227
mac-x4741,0.952371105,0.499396837
mac-x4745,2.674312299,0.794189233
mac-x4746,2.582879717,1.181220024
mac-x4750,1.08212751,0.717956096
mac-x4753,3.024454192,1.102252629
mac-x4754,1.887189585,0.506551435
mac-x4756,4.982859891,2.82287387
mac-x4757,2.379597397,1.043887471
mac-x4759,1.374425775,0.522933177
mac-x4760,3.749507754,2.052230607
mac-x4761,0.617020259,0.424416853
mac-x4762,2.72645585,1.291759317
mac-x4765,2.51762365,1.385659156
mac-x4770,2.879580882,1.362983407
mac-x4771,2.501070781,1.490464567
mac-x4772,6.393860962,3.832554549
mac-x4775,1.212054248,0.499270836
mac-x4779,1.482444902,0.528376059
mac-x4781,1.160893837,0.222953374
mac-x4788,2.630855251,0.521614324
mac-x4790,1.25189814,0.590339927
mac-x4793,1.126789664,0.339607432
mac-x4794,3.528663538,1.204038495
mac-x4801,1.978976279,0.421056967
mac-x4802,2.696985627,0.66370534
mac-x4807,2.924501315,1.609230933
mac-x4809,2.041595274,0.375412364
mac-x4811,1.203799217,0.210762387
mac-x4816,8.183194808,5.291185696
mac-x4818,2.452401737,1.391613322
mac-x4819,0.829660526,0.352567538
mac-x4820,3.693120133,2.050636387
mac-x4821,0.990173217,0.480968889
mac-x4824,2.278208402,0.751848244
